X,bg_female,bg_married,bg_b1_age,encouragement,safe_box,locked_box,fol2_amtinvest,has_followup2,treatment
1,0,1,30,0,1,0,340,1,safebox
2,1,1,29,0,1,0,80,1,safebox
3,1,1,40,0,1,0,0,1,safebox
4,0,1,44,0,1,0,100,1,safebox
5,0,1,22,0,1,0,NA,0,safebox
6,1,0,35,0,1,0,510,1,safebox
7,1,0,45,0,1,0,NA,0,safebox
8,1,0,28,0,1,0,60,1,safebox
9,1,1,45,0,1,0,1140,1,safebox
10,1,1,42,0,1,0,0,1,safebox
11,0,1,48,0,1,0,100,1,safebox
12,1,1,25,0,1,0,33,1,safebox
13,1,1,25,0,1,0,940,1,safebox
14,1,1,28,0,1,0,850,1,safebox
15,1,0,40,0,1,0,290,1,safebox
16,1,1,37,0,1,0,40,1,safebox
17,1,1,45,0,0,1,120,1,lockbox
18,1,1,30,0,0,1,1300,1,lockbox
19,1,0,40,0,0,1,100,1,lockbox
20,1,0,48,0,0,1,0,1,lockbox
21,1,1,40,0,0,1,640,1,lockbox
22,1,1,52,0,0,1,800,1,lockbox
23,0,1,33,0,0,1,1560,1,lockbox
24,1,1,47,0,0,1,96,1,lockbox
25,1,0,42,0,0,1,470,1,lockbox
26,1,0,55,0,0,1,60,1,lockbox
27,1,0,40,0,0,1,100,1,lockbox
28,1,0,24,0,0,1,550,1,lockbox
29,1,1,20,0,0,1,NA,0,lockbox
30,1,1,50,0,0,1,220,1,lockbox
31,0,1,51,0,0,1,40,1,lockbox
32,0,1,46,0,0,1,60,1,lockbox
33,1,1,40,0,0,1,80,1,lockbox
34,1,0,17,0,0,1,NA,0,lockbox
35,0,1,68,0,0,1,0,1,lockbox
36,1,1,33,0,0,1,NA,0,lockbox
37,1,1,38,0,0,1,NA,0,lockbox
38,1,1,68,0,0,1,0,1,lockbox
39,1,1,46,0,0,1,40,1,lockbox
40,0,1,48,1,0,0,110,1,control
41,0,0,32,1,0,0,0,1,control
42,0,1,35,1,0,0,93,1,control
43,1,1,47,1,0,0,20,1,control
44,1,1,35,1,0,0,80,1,control
45,0,1,56,1,0,0,1399,1,control
46,0,1,33,1,0,0,0,1,control
47,0,1,24,1,0,0,125,1,control
48,1,1,24,1,0,0,225,1,control
49,1,1,48,1,0,0,105,1,control
50,1,0,30,1,0,0,40,1,control
51,0,1,48,0,0,1,440,1,lockbox
52,1,0,63,0,0,1,500,1,lockbox
53,0,1,35,0,0,1,40,1,lockbox
54,1,0,62,0,0,1,700,1,lockbox
55,0,1,56,0,0,1,770,1,lockbox
56,1,1,45,0,0,1,0,1,lockbox
57,0,1,34,0,0,1,0,1,lockbox
58,1,1,40,0,0,1,720,1,lockbox
59,1,1,52,0,0,1,0,1,lockbox
60,1,1,45,0,0,1,900,1,lockbox
61,1,1,45,0,0,1,40,1,lockbox
62,1,1,40,0,0,1,0,1,lockbox
63,1,1,35,0,0,1,0,1,lockbox
64,1,1,23,0,0,1,700,1,lockbox
65,1,1,23,0,0,1,60,1,lockbox
66,1,1,23,0,0,1,470,1,lockbox
67,1,1,30,0,0,1,520,1,lockbox
68,0,1,41,0,0,1,300,1,lockbox
69,1,1,21,0,1,0,993,1,safebox
70,1,0,32,1,0,0,180,1,control
71,1,0,34,1,0,0,300,1,control
72,1,1,43,1,0,0,60,1,control
73,1,1,34,1,0,0,20,1,control
74,1,0,38,1,0,0,725,1,control
75,1,1,38,1,0,0,0,1,control
76,1,1,39,1,0,0,120,1,control
77,1,1,38,1,0,0,20,1,control
78,1,1,32,0,0,1,560,1,lockbox
79,1,1,28,0,0,1,840,1,lockbox
80,1,1,27,0,0,1,63,1,lockbox
81,1,1,25,0,0,1,880,1,lockbox
82,1,1,26,0,1,0,500,1,safebox
83,1,1,38,0,1,0,1430,1,safebox
84,1,1,38,0,1,0,350,1,safebox
85,1,1,26,0,1,0,640,1,safebox
86,0,1,36,0,1,0,0,1,safebox
87,1,1,30,0,1,0,420,1,safebox
88,1,1,30,0,1,0,850,1,safebox
89,1,0,25,0,1,0,0,1,safebox
90,1,1,45,0,1,0,700,1,safebox
91,1,0,30,0,1,0,1075,1,safebox
92,1,0,52,0,1,0,40,1,safebox
93,1,0,55,0,1,0,60,1,safebox
94,1,0,40,0,1,0,490,1,safebox
95,1,0,63,0,1,0,60,1,safebox
96,1,0,50,0,1,0,630,1,safebox
97,0,0,50,0,1,0,80,1,safebox
98,1,0,70,0,1,0,70,1,safebox
99,1,1,25,0,1,0,790,1,safebox
100,0,1,44,0,1,0,150,1,safebox
101,0,1,42,0,1,0,1180,1,safebox
102,0,1,26,0,1,0,NA,0,safebox
103,0,1,28,0,1,0,NA,0,safebox
104,1,0,49,0,1,0,40,1,safebox
105,1,1,35,0,1,0,150,1,safebox
106,0,1,44,0,1,0,300,1,safebox
107,1,1,26,0,1,0,760,1,safebox
108,1,1,35,0,1,0,20,1,safebox
109,1,1,35,0,1,0,390,1,safebox
110,1,1,43,1,0,0,980,1,control
111,1,1,44,1,0,0,710,1,control
112,1,0,42,0,0,1,240,1,lockbox
113,1,1,48,0,0,1,0,1,lockbox
114,1,1,21,0,0,1,100,1,lockbox
115,1,1,46,0,0,1,205,1,lockbox
116,1,1,21,0,0,1,60,1,lockbox
117,1,1,35,0,0,1,100,1,lockbox
118,1,1,51,0,0,1,40,1,lockbox
119,1,1,40,0,0,1,0,1,lockbox
120,1,0,50,0,0,1,0,1,lockbox
121,1,1,27,0,1,0,2580,1,safebox
122,1,1,32,0,1,0,5700,1,safebox
123,1,0,45,0,1,0,20,1,safebox
124,1,1,32,0,1,0,NA,0,safebox
125,1,1,18,0,1,0,150,1,safebox
126,1,0,42,0,0,1,20,1,lockbox
127,1,1,47,0,0,1,400,1,lockbox
128,1,0,47,0,0,1,70,1,lockbox
129,1,0,62,0,0,1,0,1,lockbox
130,1,0,70,0,0,1,0,1,lockbox
131,1,0,76,0,0,1,NA,0,lockbox
132,1,0,38,0,0,1,60,1,lockbox
133,1,0,70,0,0,1,20,1,lockbox
134,1,0,24,0,0,1,0,1,lockbox
135,0,1,37,0,1,0,NA,0,safebox
136,1,1,45,0,1,0,290,1,safebox
137,1,0,45,0,1,0,40,1,safebox
138,0,1,34,0,1,0,650,1,safebox
139,0,1,36,0,1,0,NA,0,safebox
140,0,1,40,1,0,0,80,1,control
141,0,1,41,1,0,0,600,1,control
142,1,1,40,1,0,0,0,1,control
143,1,1,32,1,0,0,385,1,control
144,1,1,24,1,0,0,50,1,control
145,0,1,36,1,0,0,50,1,control
146,0,1,30,1,0,0,350,1,control
147,0,1,33,0,0,1,200,1,lockbox
148,0,1,29,0,0,1,250,1,lockbox
149,0,0,22,0,0,1,700,1,lockbox
150,1,1,29,0,0,1,40,1,lockbox
151,1,1,29,0,0,1,80,1,lockbox
152,1,1,22,0,0,1,1040,1,lockbox
153,1,0,32,0,0,1,30,1,lockbox
154,1,1,32,0,0,1,1535,1,lockbox
155,1,0,20,0,0,1,250,1,lockbox
156,1,1,31,0,0,1,295,1,lockbox
157,0,1,26,0,0,1,40,1,lockbox
158,1,0,24,0,0,1,290,1,lockbox
159,1,0,58,1,0,0,0,1,control
160,1,0,63,1,0,0,0,1,control
161,1,1,68,1,0,0,530,1,control
162,1,1,30,1,0,0,640,1,control
163,1,1,55,1,0,0,NA,0,control
164,1,1,68,1,0,0,63,1,control
165,1,1,35,1,0,0,250,1,control
166,1,0,55,1,0,0,60,1,control
167,1,1,65,1,0,0,5,1,control
168,1,0,40,1,0,0,1010,1,control
169,1,1,31,1,0,0,550,1,control
170,1,0,80,0,0,1,0,1,lockbox
171,1,1,35,0,0,1,750,1,lockbox
172,1,1,38,0,0,1,0,1,lockbox
173,1,0,48,0,0,1,40,1,lockbox
174,1,1,40,0,0,1,1590,1,lockbox
175,1,1,45,0,0,1,105,1,lockbox
176,1,0,50,0,0,1,0,1,lockbox
177,1,1,53,0,0,1,0,1,lockbox
178,1,0,34,0,1,0,750,1,safebox
179,1,0,88,0,1,0,0,1,safebox
180,1,0,29,0,1,0,330,1,safebox
181,1,0,68,0,1,0,310,1,safebox
182,1,1,36,0,1,0,1210,1,safebox
183,0,1,38,1,0,0,160,1,control
184,0,1,38,1,0,0,110,1,control
185,0,1,65,1,0,0,0,1,control
186,0,1,45,1,0,0,0,1,control
187,0,1,68,1,0,0,40,1,control
188,1,1,55,1,0,0,100,1,control
189,1,1,32,1,0,0,105,1,control
190,1,1,45,0,0,1,600,1,lockbox
191,0,1,66,0,0,1,60,1,lockbox
192,0,1,50,0,0,1,263,1,lockbox
193,1,1,36,0,0,1,660,1,lockbox
194,1,0,67,0,0,1,680,1,lockbox
195,1,1,70,0,0,1,2740,1,lockbox
196,1,1,70,0,0,1,2740,1,lockbox
197,1,0,42,0,0,1,470,1,lockbox
198,0,1,65,0,0,1,99,1,lockbox
199,0,1,60,0,0,1,20,1,lockbox
200,1,1,20,0,0,1,560,1,lockbox
201,0,0,34,0,0,1,60,1,lockbox
202,0,1,46,0,0,1,670,1,lockbox
203,1,1,50,0,0,1,100,1,lockbox
204,0,1,31,0,0,1,310,1,lockbox
205,0,1,45,0,1,0,283,1,safebox
206,1,0,35,0,1,0,20,1,safebox
207,1,1,42,0,1,0,60,1,safebox
208,1,1,30,0,1,0,410,1,safebox
209,0,1,40,0,1,0,60,1,safebox
210,1,1,34,0,1,0,20,1,safebox
211,1,1,49,0,1,0,10,1,safebox
212,1,0,60,0,1,0,20,1,safebox
213,0,1,40,1,0,0,710,1,control
214,1,1,48,1,0,0,180,1,control
215,1,1,53,1,0,0,430,1,control
216,1,0,18,1,0,0,200,1,control
217,1,0,43,1,0,0,60,1,control
218,1,0,38,1,0,0,40,1,control
219,1,0,50,1,0,0,60,1,control
220,0,0,27,1,0,0,740,1,control
221,1,1,31,1,0,0,NA,0,control
222,1,0,42,1,0,0,230,1,control
223,1,1,30,1,0,0,0,1,control
224,1,1,30,0,0,1,90,1,lockbox
225,0,1,35,0,0,1,650,1,lockbox
226,1,1,20,0,0,1,140,1,lockbox
227,1,1,52,0,0,1,0,1,lockbox
228,1,1,21,0,0,1,0,1,lockbox
229,1,1,38,0,1,0,120,1,safebox
230,1,1,45,1,0,0,NA,0,control
231,1,1,56,0,1,0,50,1,safebox
232,1,1,53,0,1,0,500,1,safebox
233,1,1,28,0,1,0,130,1,safebox
234,0,1,22,0,1,0,340,1,safebox
235,0,1,31,0,1,0,NA,0,safebox
236,0,1,27,0,1,0,0,1,safebox
237,0,1,32,0,1,0,0,1,safebox
238,0,1,30,0,1,0,0,1,safebox
239,0,1,34,0,1,0,120,1,safebox
240,1,1,23,0,1,0,NA,0,safebox
241,1,1,29,0,0,1,NA,0,lockbox
242,0,1,49,0,0,1,40,1,lockbox
243,0,1,44,0,0,1,1060,1,lockbox
244,0,1,32,0,0,1,450,1,lockbox
245,0,1,36,0,0,1,132,1,lockbox
246,1,1,24,0,0,1,20,1,lockbox
247,1,1,27,0,0,1,35,1,lockbox
248,1,0,28,0,1,0,560,1,safebox
249,1,1,35,0,0,1,100,1,lockbox
250,1,0,40,0,0,1,50,1,lockbox
251,1,0,42,0,0,1,50,1,lockbox
252,1,1,30,0,0,1,0,1,lockbox
253,1,0,28,0,0,1,60,1,lockbox
254,1,1,35,0,0,1,80,1,lockbox
255,1,1,30,0,0,1,0,1,lockbox
256,0,1,48,1,0,0,700,1,control
257,0,1,35,1,0,0,336,1,control
258,1,1,31,1,0,0,230,1,control
259,0,0,22,1,0,0,NA,0,control
260,1,0,50,1,0,0,40,1,control
261,1,1,52,1,0,0,350,1,control
262,1,1,22,1,0,0,600,1,control
263,0,1,76,1,0,0,480,1,control
264,0,1,50,1,0,0,NA,0,control
265,0,1,26,0,0,1,20,1,lockbox
266,0,1,26,0,0,1,283,1,lockbox
267,1,1,30,0,0,1,20,1,lockbox
268,0,1,51,0,0,1,0,1,lockbox
269,1,1,45,0,0,1,245,1,lockbox
270,1,1,53,0,0,1,40,1,lockbox
271,1,1,30,0,0,1,540,1,lockbox
272,1,0,45,0,0,1,0,1,lockbox
273,1,1,45,0,0,1,0,1,lockbox
274,1,1,25,0,0,1,575,1,lockbox
275,1,1,42,0,0,1,1450,1,lockbox
276,1,1,50,0,0,1,1428,1,lockbox
277,1,1,42,0,0,1,NA,0,lockbox
278,1,0,53,0,0,1,1700,1,lockbox
279,0,1,24,1,0,0,1190,1,control
280,0,1,30,1,0,0,60,1,control
281,0,1,30,0,0,1,80,1,lockbox
282,0,0,30,1,0,0,NA,0,control
283,1,1,25,0,0,1,70,1,lockbox
284,1,0,20,0,0,1,683,1,lockbox
285,1,0,19,0,0,1,300,1,lockbox
286,1,1,23,0,0,1,35,1,lockbox
287,1,1,29,0,0,1,70,1,lockbox
288,1,1,20,0,0,1,335,1,lockbox
289,1,1,26,0,0,1,33,1,lockbox
290,1,1,25,0,0,1,55,1,lockbox
291,0,1,65,1,0,0,0,1,control
292,0,0,37,0,1,0,45,1,safebox
293,0,1,26,1,0,0,1030,1,control
294,0,1,47,1,0,0,65,1,control
295,1,0,38,0,1,0,80,1,safebox
296,0,1,48,0,1,0,70,1,safebox
297,1,1,31,0,1,0,1000,1,safebox
298,0,0,24,0,1,0,0,1,safebox
299,1,1,40,0,1,0,NA,0,safebox
300,1,1,22,0,1,0,1130,1,safebox
301,1,1,37,0,1,0,480,1,safebox
302,1,1,30,0,1,0,113,1,safebox
303,1,1,26,0,1,0,80,1,safebox
304,1,1,38,0,1,0,73,1,safebox
305,0,1,30,0,1,0,0,1,safebox
306,0,0,32,0,0,1,1850,1,lockbox
307,1,0,48,0,0,1,105,1,lockbox
308,0,1,56,0,0,1,80,1,lockbox
309,1,1,55,0,0,1,360,1,lockbox
310,1,0,50,0,0,1,0,1,lockbox
311,0,1,28,0,0,1,53,1,lockbox
312,0,1,38,0,0,1,80,1,lockbox
313,1,1,20,0,0,1,50,1,lockbox
314,0,1,21,0,0,1,1575,1,lockbox
315,1,1,27,0,1,0,600,1,safebox
316,1,1,26,0,1,0,1000,1,safebox
317,1,1,55,0,1,0,985,1,safebox
318,1,1,46,0,1,0,70,1,safebox
319,1,1,21,0,0,1,40,1,lockbox
320,0,0,22,0,0,1,1400,1,lockbox
321,0,1,27,0,0,1,190,1,lockbox
322,1,1,49,0,0,1,NA,0,lockbox
323,1,1,40,0,0,1,0,1,lockbox
324,1,1,38,0,0,1,NA,0,lockbox
325,0,1,39,0,0,1,710,1,lockbox
326,0,1,43,0,0,1,81,1,lockbox
327,1,0,53,0,0,1,60,1,lockbox
328,0,1,52,0,0,1,105,1,lockbox
329,1,1,34,0,0,1,60,1,lockbox
330,1,1,45,0,0,1,300,1,lockbox
331,0,0,40,0,0,1,35,1,lockbox
332,0,1,35,0,0,1,0,1,lockbox
333,0,1,55,0,0,1,0,1,lockbox
334,0,1,35,0,0,1,80,1,lockbox
335,0,1,24,1,0,0,53,1,control
336,1,1,28,1,0,0,NA,0,control
337,1,1,55,0,0,1,53,1,lockbox
338,1,0,25,1,0,0,750,1,control
339,1,1,41,1,0,0,553,1,control
340,1,1,25,0,0,1,63,1,lockbox
341,1,1,27,1,0,0,626,1,control
342,1,1,24,0,0,1,40,1,lockbox
343,1,0,27,1,0,0,40,1,control
344,1,1,42,1,0,0,40,1,control
345,1,1,33,0,0,1,40,1,lockbox
346,1,1,35,0,1,0,80,1,safebox
347,1,0,55,0,1,0,300,1,safebox
348,1,1,34,1,0,0,80,1,control
349,1,1,46,1,0,0,20,1,control
350,1,1,60,1,0,0,NA,0,control
351,1,1,45,1,0,0,40,1,control
352,1,1,70,1,0,0,60,1,control
353,1,0,50,1,0,0,610,1,control
354,1,1,54,1,0,0,80,1,control
355,1,0,62,1,0,0,0,1,control
356,1,0,65,1,0,0,50,1,control
357,1,0,40,1,0,0,730,1,control
358,1,0,64,0,1,0,740,1,safebox
359,1,1,35,0,1,0,470,1,safebox
360,1,1,36,0,1,0,60,1,safebox
361,0,1,28,0,1,0,125,1,safebox
362,1,1,30,0,1,0,60,1,safebox
363,1,1,40,0,1,0,310,1,safebox
364,1,1,23,0,1,0,80,1,safebox
365,1,1,33,0,1,0,860,1,safebox
366,1,1,36,0,0,1,NA,0,lockbox
367,0,1,34,0,0,1,550,1,lockbox
368,1,1,42,0,0,1,660,1,lockbox
369,1,1,57,0,0,1,60,1,lockbox
370,1,1,29,0,0,1,NA,0,lockbox
371,1,1,43,0,0,1,220,1,lockbox
372,1,0,33,1,0,0,80,1,control
373,1,1,29,1,0,0,690,1,control
374,1,0,54,1,0,0,40,1,control
375,0,1,45,0,1,0,0,1,safebox
376,0,1,78,1,0,0,80,1,control
377,1,1,43,1,0,0,80,1,control
378,1,1,43,1,0,0,360,1,control
379,1,1,50,1,0,0,600,1,control
380,0,1,69,1,0,0,510,1,control
381,1,0,66,1,0,0,0,1,control
382,1,1,25,1,0,0,330,1,control
383,1,1,27,1,0,0,300,1,control
384,1,0,49,1,0,0,0,1,control
385,1,1,34,1,0,0,456,1,control
386,1,1,32,1,0,0,160,1,control
387,1,1,48,1,0,0,130,1,control
388,1,1,28,1,0,0,0,1,control
389,1,1,28,1,0,0,NA,0,control
390,1,1,31,1,0,0,410,1,control
391,1,1,46,1,0,0,0,1,control
392,1,1,19,1,0,0,40,1,control
393,1,1,28,1,0,0,120,1,control
394,1,1,49,0,1,0,434,1,safebox
395,1,1,55,0,1,0,1140,1,safebox
396,1,1,51,0,1,0,0,1,safebox
397,1,1,53,0,1,0,650,1,safebox
398,1,1,29,0,1,0,360,1,safebox
399,1,0,56,0,1,0,310,1,safebox
400,1,1,30,0,1,0,350,1,safebox
401,1,1,38,0,1,0,60,1,safebox
402,0,1,35,0,0,1,320,1,lockbox
403,1,0,62,0,0,1,80,1,lockbox
404,0,1,34,0,0,1,0,1,lockbox
405,0,1,31,0,0,1,60,1,lockbox
406,0,0,19,0,0,1,250,1,lockbox
407,0,1,24,0,0,1,0,1,lockbox
408,1,1,30,0,0,1,130,1,lockbox
409,1,1,33,0,0,1,0,1,lockbox
410,1,1,23,0,0,1,60,1,lockbox
411,1,1,55,0,0,1,860,1,lockbox
412,1,0,48,0,1,0,60,1,safebox
413,1,1,36,0,1,0,120,1,safebox
414,1,1,40,0,0,1,120,1,lockbox
415,1,1,28,0,0,1,60,1,lockbox
416,1,1,48,0,0,1,0,1,lockbox
417,1,0,52,0,0,1,20,1,lockbox
418,1,1,46,0,0,1,30,1,lockbox
419,1,1,35,0,0,1,670,1,lockbox
420,1,0,58,0,0,1,620,1,lockbox
421,1,1,43,0,0,1,120,1,lockbox
422,1,1,47,0,0,1,60,1,lockbox
423,1,1,49,0,0,1,40,1,lockbox
